time,wealth,reward,drawdown,action,daily_return,shares
2026-02-09,1.0366988636050043,0.023575786773663558,0.02197364825644716,"[0.19612323697482992, 0.19413568681771207, 0.19220535563220714, 0.19200260371259875, 0.22553311686265212]",-0.0020862939826449267,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-10,1.0273710002435479,-0.05504474980683583,0.03077359633514353,"[0.19595618679291574, 0.19435207685043165, 0.19296483036711634, 0.1951596244284363, 0.2215672815610999]",-0.008997659483313991,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-11,1.0154992970367687,-0.09109927064922135,0.041973414318866524,"[0.18537073915229332, 0.19819889979650127, 0.1941262794899111, 0.19655174620767768, 0.22575233535361658]",-0.011555419808389478,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-12,1.0031404790556189,-0.14050770993248513,0.053632778562726593,"[0.17851287628898235, 0.19735743819616958, 0.19678876609937068, 0.19396625337061613, 0.2333746660448612]",-0.0121701886128458,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-13,1.0111057912377874,-0.13610007361771242,0.04611826737002117,"[0.1790583852076677, 0.19147689051223502, 0.1980475199291568, 0.19533310249484154, 0.23608410185609907]",0.00794037559890648,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-17,1.0096374579637843,-0.16728839517646465,0.04750349955800982,"[0.17653721292345456, 0.1940210478147355, 0.1986779864613417, 0.19582894739931467, 0.23493480540115358]",-0.0014522053841721227,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-18,1.0204551699555011,0.007034178042270564,0.037298021607855184,"[0.17634270982231307, 0.1950880561228857, 0.20250141502008404, 0.19729145839737935, 0.22877636063733775]",0.01071445191181164,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-19,1.0078652399814316,-0.1669727318357471,0.04917541794108538,"[0.17545782894488127, 0.1974409794376549, 0.19963995954357788, 0.19774790163230038, 0.2297133304415855]",-0.012337563025545228,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-20,1.012285217007884,-0.14601764270697928,0.045005591815358494,"[0.17529157502605866, 0.1985875871101949, 0.19886587066622363, 0.19913504942299165, 0.22811991777453122]",0.004385484141246732,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-23,0.9822233975855988,-0.268603438284334,0.07336604691811752,"[0.1569047829446377, 0.20653083444226397, 0.20030060004316663, 0.2009830779641963, 0.2352807046057354]",-0.029696985510804907,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-24,0.9965044254894894,-0.18566932803108896,0.05989326122274164,"[0.15879002637985684, 0.20495259876847977, 0.20146988054324488, 0.19995984487370544, 0.23482764943471315]",0.014539490648455944,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-25,1.0093480889014064,-0.17300370540664406,0.04777649162766527,"[0.16238887661770476, 0.20518803872186062, 0.2016956556321631, 0.1997400805371701, 0.23098734849110147]",0.012888716882123452,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-26,0.9945554698254505,-0.23886525338494788,0.061731914726403735,"[0.16790545395012596, 0.19687809471103362, 0.2006230487446239, 0.20206041237407182, 0.23253299022014476]",-0.014655617064729842,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-27,0.9806744475007676,-0.35796819816424974,0.0748273333665587,"[0.16901558434391709, 0.1913495086607266, 0.19822448613641447, 0.19983823847766874, 0.24157218238127318]",-0.013957011696008381,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-03-02,0.9824075316113641,-0.30537237318698607,0.07319233405339537,"[0.168127415528985, 0.19671459697114488, 0.19548651229276573, 0.20043879680811533, 0.23923267839898915]",0.0017672369408758826,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-03-03,0.9809762108641413,-0.3412284191133157,0.07454264845782446,"[0.1725298180487723, 0.19437823279897265, 0.1945380980253035, 0.1977775184179413, 0.24077633270901014]",-0.001456952131540623,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-03-04,0.9898650772344257,-0.22038598889049385,0.06615685210705546,"[0.17431257494541275, 0.19583169671022638, 0.1961095669987556, 0.19537584711743736, 0.23837031422816787]",0.009061245595807232,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
