time,wealth,reward,drawdown,action,daily_return,predicted_up_probability,strategy_signal
2026-01-23,1.0140438010320048,-0.010699787609243937,0.009950284667483699,"[0.25, 0.25, 0.25, 0.0, 0.25]",-0.0007495029417601273,"[1.0, 1.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]"
2026-01-26,1.0121411513619176,-0.01368421354755876,0.011807914251462406,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.0018762992960962288,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1]"
2026-01-27,1.0257730818528832,0.01346840850470584,0.0,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.013468408504705875,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
2026-01-28,1.0265646426035213,0.0007716723753448127,0.0,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.0007716723753448118,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
2026-01-29,1.0407666171343588,0.013834466863011294,0.0,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.013834466863011263,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0]"
2026-01-30,1.0280730361593706,-0.024392751969579077,0.012196375984789579,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.01219637598478962,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
2026-02-02,1.0588086254014804,0.2127068327575706,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0]",0.02989630907637686,"[0.0, 0.0, 0.0, 0.0, 1.0]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
2026-02-03,1.0353270163590356,0.0371751673251738,0.02217738737587352,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.022177387375873492,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
2026-02-04,1.0193509603880864,-0.04411131754748159,0.0372660970705942,"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]",-0.015430927348088153,"[1.0, 1.0, 0.0, 1.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1]"
2026-02-05,1.0086016048074984,-0.054049401489996936,0.04741840913408162,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.010545294013845297,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1]"
2026-02-06,1.0358921718286678,0.03302646549199362,0.02164362191904424,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.02705782629245168,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1]"
2026-02-09,1.0346089090693982,0.036735907333069646,0.022855609362745888,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.001238799552857217,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
2026-02-10,1.0258381009467217,3.744403854858552e-05,0.03113926696834083,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.008477414069984812,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0]"
2026-02-11,1.0136171270338477,-0.02180646575421936,0.042681460354081394,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.011913160470054307,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
2026-02-12,0.9999593185466551,-0.07173808310314467,0.05558068327268368,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.013474326866555142,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
2026-02-13,1.0075159727656249,-0.07042654031568896,0.04844374271734542,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.007556961647152471,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1]"
2026-02-17,1.0060552624073709,-0.09692697246582349,0.04982332191911112,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.0014498135987307537,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1]"
2026-02-18,1.0176491920310446,0.06744117909553737,0.038873345364776206,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.011524147884213631,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0]"
2026-02-19,1.0050575454112862,-0.0757548917280864,0.050765623457036654,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.012373268429199835,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
2026-02-20,1.0096779397743947,-0.058061471002399695,0.04640185624522678,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.004597144098070327,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
2026-02-23,0.9765108371306813,-0.19196795378382076,0.07772678300537385,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.03284919015971011,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
2026-02-24,0.991297167387633,-0.12130614823843544,0.06376171896809806,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.015142003237156976,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1]"
2026-02-25,1.0055119126701384,-0.10499869646185603,0.050336492783228735,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.014339539897975984,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]"
2026-02-26,0.9920560925321111,-0.16077945241238611,0.06304494624234659,"[0.2, 0.2, 0.2, 0.2, 0.2]",-0.0133820593952938,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
2026-02-27,0.9772742339860454,-0.2655682023988564,0.07700578693767123,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.014900224551150809,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]"
2026-03-02,0.979523606835167,-0.2190444186212398,0.07488134934322992,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.002301680296989961,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
2026-03-03,0.9786413895030114,-0.34773028531800804,0.07571456632974732,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.0009006595920705296,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]"
2026-03-04,0.9881966142968962,-0.2294892020198223,0.06669006032871086,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.009763765252905676,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1]"
2026-03-05,0.9802515765996361,-0.21270809275876157,0.0741938126656806,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.008039936164841999,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
2026-03-06,0.9631505417293086,-0.25088935285262876,0.09034501738772671,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.017445557118764166,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0]"
2026-03-09,0.9648812855030201,-0.3764308540522404,0.08871040303704059,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.0017969608059442699,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
2026-03-10,0.9657579858132566,-0.36603633147643133,0.08788239664456902,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.0009086095081420886,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1]"
2026-03-11,0.9614838369812894,-0.3544833931158427,0.09191914958502274,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.004425693491281857,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0]"
2026-03-12,0.9506759955446825,-0.36240816772793294,0.10212669906782822,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.011240793678383154,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]"
2026-03-13,0.9451295068094746,-0.3400279516101268,0.10736512327607906,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.005834257687373334,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
2026-03-16,0.9546063520105186,-0.31838391637913654,0.09841464348805265,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.010027033472942204,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
2026-03-17,0.9658068286058732,-0.24710682169846204,0.08783626669110542,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.011733084084099232,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
2026-03-18,0.9557275643863763,-0.35139583044063627,0.09735570578301406,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.01043610784368354,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]"
2026-03-19,0.9527208665482161,-0.31940581438521,0.10019540482401887,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.0031459779441337377,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
2026-03-20,0.9372828118860835,-0.41577513810329075,0.11477599501922882,"[0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",-0.016204173965524538,"[0.0, 1.0, 1.0, 0.0, 1.0]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
2026-03-23,0.9549466521780093,-0.1935367039841797,0.09809324436140526,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.018845795599709225,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
2026-03-24,0.9524449185501715,-0.2870998687976664,0.10045602604623445,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.0026197627083480723,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
2026-03-25,0.9582275620918254,-0.3328396475765172,0.09499456360351857,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.006071367938480066,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]"
2026-03-26,0.9463825098869667,-0.34016161615514384,0.10618171482300097,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.012361418804318958,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2026-03-27,0.9257390861060784,-0.3807069663673863,0.1256785561649014,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.021812981078183635,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]"
2026-03-30,0.9227379816238719,-0.4118976545020384,0.12851297251759072,"[0.25, 0.25, 0.25, 0.25, 0.0]",-0.0032418470033819258,"[0.5, 0.5, 0.5, 0.5, 0.0]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
2026-03-31,0.9468647314198333,-0.23569271044332646,0.10572627696454591,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.026146913074394318,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1]"
2026-04-01,0.9494488112047532,-0.26539550964449127,0.10328572281441317,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.0027290907551758004,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
2026-04-02,0.9543545499680518,-0.2051444883499354,0.09865245987566594,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.005166933388513817,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]"
2026-04-06,0.955101632859598,-0.12940360928989572,0.097946871657339,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.0007828148265980328,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1]"
2026-04-07,0.9513974260335272,-0.157927676661453,0.1014453384597475,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.003878337863354231,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]"
2026-04-08,0.9750584915473659,-0.034823713210348606,0.07909846203071681,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.02486980190022603,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]"
2026-04-09,0.9736882976262513,-0.023956778516063898,0.080392552282952,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.0014052427961939173,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1]"
2026-04-10,0.9657970305717754,-0.018211664981176254,0.08784552052023259,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.008104510523248565,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1]"
2026-04-13,0.9746388492496015,0.050110775794062326,0.07949479644630135,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.009154944981133006,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
2026-04-14,0.9952859549887798,0.10636245960224733,0.05999447765040065,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.02118436562945858,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0]"
2026-04-15,0.9956422929328148,0.06490884691317958,0.05965793152158546,"[0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.00035802569326826017,"[0.0, 1.0, 1.0, 0.0, 1.0]","[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
2026-04-16,0.9968620622435119,0.11532978778254119,0.058505910956741077,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.0012251079723664127,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1]"
2026-04-17,1.0182392011300354,0.22074273329438768,0.03831610670536593,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.021444430173631623,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]"
2026-04-20,1.015767695329255,0.28810677249494715,0.040650339485008555,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.0024272349739016263,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]"
