time,wealth,reward,drawdown,action,daily_return
2026-02-11,1.0073564847310523,-0.0924959954865281,0.06521904633193362,"[2.9802322387695312e-08, 0.9705159664154053, 0.0, 1.0, 1.0]",0.003495324007111167
2026-02-12,0.9932244076720259,-0.13231826611553288,0.07833297042016171,"[1.0, 0.0, 0.0, 0.0, 0.9850779175758362]",-0.01402887386266194
2026-02-13,1.0084519607380034,-0.10669748907226154,0.06420249447365917,"[1.0, 0.0, 0.0, 0.0, 1.0]",0.01533143260309977
2026-02-17,1.0011763023107856,-0.14096769159091357,0.07095397423901109,"[1.0, 0.0, 0.0, 1.0, 0.0]",-0.007214680233149973
2026-02-18,1.008377295867494,-0.024906977441745325,0.06427178007405808,"[0.0, 0.0, 1.0, 0.0, 1.0]",0.007192532963562925
2026-02-19,1.0000153054675438,-0.10668059838271761,0.07203132645025032,"[0.0, 0.0, 0.0, 0.0, 1.0]",-0.008292521493908134
2026-02-20,1.0068414506046814,-0.08645360276138092,0.06569697455210001,"[1.0, 1.0, 0.0, 0.0, 0.0]",0.006826040661393806
2026-02-23,0.8744673653681065,-0.3893799453838398,0.18853409876182817,"[1.0, 0.0, 0.0, 0.0, 0.0]",-0.13147460819881285
2026-02-24,0.8875127677736651,-0.35957001801637234,0.176428559276561,"[0.0, 0.0, 1.0, 1.0, 0.0]",0.014918112352960256
2026-02-25,0.9057494833147434,-0.3245525068284907,0.15950571755800713,"[1.0, 0.0, 1.0, 1.0, 0.0]",0.020548116267470995
2026-02-26,0.8863374136954575,-0.37054240549510653,0.17751923434817465,"[0.0, 1.0, 1.0, 1.0, 0.9999998807907104]",-0.021432051551654396
2026-02-27,0.8780826458308642,-0.44566244010125083,0.185179283093315,"[0.0, 0.05462875962257385, 1.0, 1.0, 1.0]",-0.00931334696814412
2026-03-02,0.8812555731785849,-0.41872537293468254,0.18223495097556047,"[0.0, 1.0, 1.0, 0.0, 0.9143210649490356]",0.003613472334051737
2026-03-03,0.8862669405096356,-0.4432408298611062,0.17758463025602766,"[1.0, 1.0, 0.0, 0.0, 0.0]",0.005686622001124242
2026-03-04,0.8931729319743675,-0.3426370294559893,0.17117618460121145,"[0.0, 1.0, 0.0, 0.0, 1.0]",0.007792225061177049
2026-03-05,0.9163541330214134,-0.2507103260452619,0.14966508545172408,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.025953765745905022
2026-03-06,0.9308375098605328,-0.19095545349157791,0.13622517116197724,"[0.0, 0.0, 0.0, 0.0, 1.0]",0.015805436257884997
2026-03-09,0.9176944826606792,-0.28071426576867287,0.1484213020115688,"[1.0, 0.0, 1.0, 0.0, 0.0]",-0.014119571956036525
2026-03-10,0.9063559748751858,-0.31600822771156045,0.15894292100300864,"[1.0, 0.0, 0.0, 0.0, 0.0]",-0.012355427650190931
2026-03-11,0.8981396718168584,-0.324489418149535,0.1665672761592071,"[1.0, 0.0, 0.0, 1.0, 1.0]",-0.009065205378558816
2026-03-12,0.8826456780111365,-0.3713213435962921,0.18094499698135152,"[1.0, 0.0, 0.0, 0.9999672174453735, 0.0]",-0.01725120745905695
2026-03-13,0.879627020629513,-0.3576842289099966,0.18374617359436005,"[1.0, 0.0, 1.0, 1.0, 0.9999850988388062]",-0.0034200103810912985
2026-03-16,0.886429586115926,-0.364580152588843,0.17743370253851892,"[0.00018897652626037598, 0.00012055039405822754, 1.0, 0.0, 0.0003012418746948242]",0.007733465806387674
2026-03-17,0.8978913377552494,-0.3206753516135146,0.1667977188619223,"[0.0, 0.0, 1.0, 1.0, 1.0]",0.012930244904781896
2026-03-18,0.8885549189317876,-0.35763029904178967,0.1754614904501602,"[0.0, 0.0, 0.0, 0.0, 0.0]",-0.01039816114809955
2026-03-19,0.886284641727809,-0.3506633299526397,0.17756820433148557,"[1.0, 1.0, 1.0, 1.0, 0.0]",-0.0025550218175686146
2026-03-20,0.8655555694235869,-0.41694965803815554,0.1968038396511593,"[0.061885327100753784, 1.0, 1.0, 0.0, 0.0]",-0.023388730130548985
